"Project","Text"
"P079032","percentage private companies managing communal sector facilities basis concession agreements agreements total communal entities"
"P079032","percentage private investments total amount investments upgrade communal infrastructure"
"P079032","percentage wornout assets communal infrastructure internet portal includes percentage regions connected portal monitoring project system monitoring hcs outcome performance regional level information practice hcs including regulations methodologies guidelines operational"
"P079032","percentage consumers served cs providers governmentowned joint stock companies strengthening private operators"
"P079032","percentage multifamily buildings maintenance current capital repair carried private maintenance entities"
"P079032","percentage multifamily buildings owners common equity ownership land plot building located"
"P079032","percentage payments residents communal services channeled billing collection centers directly cs provider buildinglevel collective management structures"
"P079032","petersburg economic transformation multisector reforms development loan investments selected cultural sites critical million citys future development international approved cultural destination supporting fiscal federation regional fiscal fiscal federation regional reform competitively selected regions fiscal reform project closed rewarding grants implementing million approved transformation municipal housing markets housing project marketeconomy principles stimulation million municipal land development commercially approved closed financed private housing infrastructure accelerating sustainable divestiture enterprise enterprise housing divestiture housing russia demonstrating project million participating cities combination housing approved closed reforms investments designed transfer housing private sector lower operating cost annex results framework monitoring federation housing communal services project results framework pdo project outcome indicators project outcome information"
"P079032","planning budgeting budgeting basis procurement plan approved rosstroi finance staff excel"
"P079032","refer annex details procurement arrangements"
"P079032","refer annex details process municipalities selection annex details responsibilities parties project"
"P079032","po treasury devt"
"P079032","poland karelia la saint petersburg insu pen di kolyma pskov petrozavodsk yr ange tay irka novgorod arkhangelsk che naryan mar rskiy belarus ran kolmya yamal ga ge wland smolensk pen lo palana tver vologda gyda kh siberian moscow yaroslavl kotlas vorkuta pen"
"P079032","policy exceptions readiness"
"P079032","poorly managed hcs providers affected negatively compete efficient public private companies"
"P079032","poverty social impact analysis reform housing communal services sector"
"P079032","poverty headcount rates cut half regional disparities declined"
"P079032","power supply hcs facilities"
"P079032","power transmission lines overhead cables"
"P079032","practice reforms housing"
"P079032","preparation design documents responsibility participating municipalities"
"P079032","preparing investment plans guidelines preparing technical designs reporting rosstroi progress reform program"
"P079032","debtgdp"
"P079032","debtlexports"
"P079032","private financing infancy due investment risk profit potential lack solid legal regulatory framework widespread political interference"
"P079032","private financing infancy"
"P079032","private financing infancy rapid increases private investment sector"
"P079032","private management companies represent percent housing management maintenance market"
"P079032","privatized tenantowners perceive hold joint ownership common property feel responsible management maintenance repair"
"P079032","procurement arrangements considered project found adequate satisfactory bank"
"P079032","procurement arrangements project found adequate satisfactory bank"
"P079032","procurement centralized experienced quality investments financed selected assist execution project operation"
"P079032","procurement methods thresholds icb ncb shisw consultants shism firms individ"
"P079032","procurement performed framework municipal investment plans"
"P079032","procurement plan months project preparation reviewed approved bank negotiations"
"P079032","procurement plan procurement plan subnational component covers percent project cost elaborated municipalities beneficiaries funds selected"
"P079032","procurement undertaken banks procurement guidelines"
"P079032","production costs sold unit communal services percentage tariff"
"P079032","program social economic development russian federation mediumterm outlook"
"P079032","program pure investment focus program investmentonly focus ruled due lack reform processes sustainability investment spending lessons learned section"
"P079032","proiect implementation period expected effectiveness date july expected closing date november annual disbursement plan table estimated disbursements million fy fylo nll fy annual"
"P079032","project audit audit scope regular project audits fer auditors expanded include detailed review internal acceptable bank"
"P079032","project components issues highlighted annex addressed project components support hcs reform implementation federal level support implementation hcs reforms subnational level preparation implementation hcs investment plans project management monitoring table timing components subcomponents"
"P079032","project description"
"P079032","project description pad technicalannex project support governments hcs program ten competitively selected medium sized cities combination technical assistance reforms investments infrastructure components component support hcs reform implementation federal level including developing legal regulatory framework federal level ii setting national hcs monitoring system iiidisseminating project results nonparticipating municipalities regions"
"P079032","project development objective indicators"
"P079032","project development objective pad technical annex project development objective improve quality financial viability hcs participating municipalities"
"P079032","project interim unaudited financial reports ifrs project monitoring supervision"
"P079032","project management"
"P079032","proposed investments lead sustainable medium longterm environmental benefits due increased energy efficiency reduced emissions atmosphere water bodies"
"P079032","public awareness campaign reforms selected regions million subcomponent consists implementation regional public awareness education campaigns inform consumers objectives rationale reforms reasons tariff increases benefits approaches collective management multi apartment buildings common properties commercial provision hcs services"
"P079032","public spending supports incompetent municipal unitary enterprises provide incentives efficiency"
"P079032","pumping stations"
"P079032","pumping stations"
"P079032","qcbs qbs fbs lcs sbcq sss circumstances"
"P079032","quality communal services declined assets deteriorating"
"P079032","quality delivery communal services population improved percentage population rating services satisfactory"
"P079032","quality delivery communal services including district heating water supply hot water supply waste water disposal improved"
"P079032","requirements meeting environmental safeguards environmental chapter subproject proposal incorporated bidding documents"
"P079032","ratio formally granted allowances benefits paid allowances benefits"
"P079032","ratio tariffs residents tariffs consumer"
"P079032","rationale bank involvement"
"P079032","rayon diesel gas diesel power stations mw capacities excluding constructions"
"P079032","reasons cited include lines lack availability documents redtape"
"P079032","receive review project reports seek clarifications issues instructions actions"
"P079032","recent ongoing analytical forms integral broader poverty dialogue government russia"
"P079032","recognizing uncertainty lack specific investment proposals stage project development developed green red list typical investments housing communal sector"
"P079032","recognizing uncertainty lack specific investment proposals stage project development emp developed green red typical investments housing communal sector"
"P079032","reform achieving results reauire improving efficiency investment hcs sector"
"P079032","reform processes require management professional technical skills deal organizational emerge reform cultural issues involved"
"P079032","reform processes require shift skills"
"P079032","reforming upgrading housing utilities sector russian federation subprogram federal targeted housing program housing zhilische"
"P079032","reforms investments expected positively affect levels government reducing subsidies hcs providers efficiency gains improved financial condition private companies improving access lines business housing management maintenance households improving service quality"
"P079032","rehabilitation modernization technical conditions converting consumeroriented policy providing metering mechanisms consumer control supply building level"
"P079032","relations regions municipalities service providers actors local level including municipal administrations communal services providers home owner associations buildinglevel management structures cooperate implement reforms investments project"
"P079032","relevance investments investment subprojects relevant achieving broad improvements hcs services"
"P079032","relevance investments investment subprojects relevant achieving wide ranging improvements hcs services"
"P079032","relevant psia activities include extensive analytical regular consultations local government civil society donors involved dialogue transition"
"P079032","renewable energy sources"
"P079032","replicabilitv implemented reforms investments"
"P079032","report ru project appraisal document proposed loan amount million russian federation housing communal services project january sustainable development department russia country unit europe central asia region document restricted distribution recipients performance official duties"
"P079032","review approve projects operations manual"
"P079032","review proposals extending project implementation period reducing reallocating loan funds"
"P079032","rf president putin government russia recently declared accessible housing national priority proaams"
"P079032","rosstroi investment program implementation agreements municipalities successfully implemented reform program prepared satisfactory investment plans"
"P079032","rosstroi mof subsequently investment program implementation agreements municipalities successfully implemented reform program prepared satisfactory investment plans"
"P079032","rosstroi staff required regularly monitor compliance contractors clients project noncompliance undertake actions mitigate situation"
"P079032","rosstroi conduct periodic spot checks"
"P079032","rosstroi estimates percent hcs assets deteriorated percent"
"P079032","rosstroi project related issues director administrative issues"
"P079032","rosstroi knowledge russian federation legislation familiar world bank safeguards policies implementation municipal heating municipal water wastewater projects"
"P079032","rosstroi independent engineering firms routine supervision quality investment phase"
"P079032","rosstroi serve primary agency coordination reporting bank"
"P079032","rosstroi charge project implementation"
"P079032","rosstroi responsible monitoring evaluation project"
"P079032","rosstroi establish evaluation committee procurement legislation include representatives ministry finance ministry economic development trade"
"P079032","rosstroi framework agreements selected reserve municipalities start reform phase formalize responsibilities municipalities project"
"P079032","rosstrois supervision"
