"SDG","Target","Frequency","Color"
"SDG 16","SDG 16.b",2,"#00689D"
"SDG 2","SDG 2.c",2,"#DDA63A"
"SDG 14","SDG 14.4",1,"#0A97D9"
"SDG 14","SDG 14.5",1,"#0A97D9"
"SDG 15","SDG 15.1",1,"#56C02B"
"SDG 15","SDG 15.3",1,"#56C02B"
"SDG 15","SDG 15.5",1,"#56C02B"
"SDG 15","SDG 15.7",1,"#56C02B"
"SDG 15","SDG 15.9",1,"#56C02B"
"SDG 15","SDG 15.a",1,"#56C02B"
"SDG 15","SDG 15.b",1,"#56C02B"
"SDG 15","SDG 15.c",1,"#56C02B"
"SDG 16","SDG 16.1",1,"#00689D"
"SDG 16","SDG 16.10",1,"#00689D"
"SDG 16","SDG 16.8",1,"#00689D"
"SDG 17","SDG 17.1",1,"#19486A"
"SDG 17","SDG 17.17",1,"#19486A"
"SDG 17","SDG 17.2",1,"#19486A"
"SDG 17","SDG 17.3",1,"#19486A"
"SDG 17","SDG 17.6",1,"#19486A"
"SDG 17","SDG 17.7",1,"#19486A"
"SDG 2","SDG 2.3",1,"#DDA63A"
"SDG 2","SDG 2.5",1,"#DDA63A"
"SDG 2","SDG 2.b",1,"#DDA63A"
