"SDG","Target","Frequency","Color"
"SDG 16","SDG 16.5",5,"#00689D"
"SDG 3","SDG 3.4",5,"#4C9F38"
"SDG 10","SDG 10.6",4,"#DD1367"
"SDG 11","SDG 11.c",4,"#FD9D24"
"SDG 15","SDG 15.2",4,"#56C02B"
"SDG 15","SDG 15.8",4,"#56C02B"
"SDG 16","SDG 16.2",4,"#00689D"
"SDG 4","SDG 4.1",4,"#C5192D"
"SDG 4","SDG 4.c",4,"#C5192D"
"SDG 1","SDG 1.b",3,"#E5243B"
"SDG 12","SDG 12.2",3,"#BF8B2E"
"SDG 13","SDG 13.1",3,"#3F7E44"
"SDG 13","SDG 13.b",3,"#3F7E44"
"SDG 3","SDG 3.3",3,"#4C9F38"
"SDG 3","SDG 3.c",3,"#4C9F38"
"SDG 5","SDG 5.3",3,"#FF3A21"
"SDG 8","SDG 8.5",3,"#A21942"
"SDG 12","SDG 12.c",2,"#BF8B2E"
"SDG 15","SDG 15.5",2,"#56C02B"
"SDG 15","SDG 15.c",2,"#56C02B"
"SDG 17","SDG 17.10",2,"#19486A"
"SDG 17","SDG 17.11",2,"#19486A"
"SDG 3","SDG 3.5",2,"#4C9F38"
"SDG 3","SDG 3.7",2,"#4C9F38"
"SDG 3","SDG 3.b",2,"#4C9F38"
"SDG 4","SDG 4.7",2,"#C5192D"
"SDG 6","SDG 6.6",2,"#26BDE2"
"SDG 7","SDG 7.1",2,"#FCC30B"
"SDG 1","SDG 1.2",1,"#E5243B"
"SDG 1","SDG 1.4",1,"#E5243B"
"SDG 10","SDG 10.1",1,"#DD1367"
"SDG 12","SDG 12.8",1,"#BF8B2E"
"SDG 12","SDG 12.b",1,"#BF8B2E"
"SDG 14","SDG 14.7",1,"#0A97D9"
"SDG 15","SDG 15.4",1,"#56C02B"
"SDG 16","SDG 16.8",1,"#00689D"
"SDG 17","SDG 17.13",1,"#19486A"
"SDG 17","SDG 17.7",1,"#19486A"
"SDG 2","SDG 2.2",1,"#DDA63A"
"SDG 3","SDG 3.1",1,"#4C9F38"
"SDG 4","SDG 4.3",1,"#C5192D"
"SDG 5","SDG 5.a",1,"#FF3A21"
"SDG 6","SDG 6.a",1,"#26BDE2"
"SDG 7","SDG 7.2",1,"#FCC30B"
"SDG 7","SDG 7.a",1,"#FCC30B"
"SDG 8","SDG 8.8",1,"#A21942"
"SDG 9","SDG 9.1",1,"#FD6925"
